ID,query
398560,"Здравствуйте! Мне нужно обжаловать штраф. {{UL}} вынесла нашей организации штраф за несвоевременную оплату (девять дней просрочки) за негативное воздействие на окружающую среду. Мы планируем обратиться в районный суд для обжалования данного постановления. Имеются смягчающие обстоятельства. Скажите пожалуйста,  каковы шансы на то, что мы выиграем этот процесс? Спасибо"
404886,"клиент купил товар- он оказался бракованным. Хочет написать претензию, но не знает юридический адрес магазина. Знает только физический адрес"
402934,"Добрый день, подскажите, пожалуйста, при вступление в наследство несовершеннолетнего (15 лет) что нужно предоставить для опеки? какая оценка движимого и недвижимого нужна? Должны обратиться туда сами или все делает нотариус?"
386203,"Квартира 50 квадратных метра, доля одного собственника 1/8.
Данный собственник отказывается продавать свою долю друному собственнику.
За квартиру оплачивает собственник большей доли, он же хочет продать квартиру. 
Как можно продать асю квартиру или выкупить меньшую долю?
Данный,вопрос возможно решить например через суд или каким то другим способом?"
390937,"Ждали загранпампорт ребенку (первый) старого образца,не дождплись, пошли проверять в Белокурихе (там, где и подавали).По времени прошло месяц и 5 дней, нас отправили в Барнаул, там на следующий день полкчили паспорт. Аопро- модно ли получить компенсауию расходов в связи с несвоевременным получением и расходов на понздку в Барнаул из Белокурихи??"
389223,"Добрый день ! Скажите, пожалуйста , на основании трудового договора сколько можно находиться на территории РФ не делая заезд выезд ? Я гражданка Киргизии"
385983,"Я затопил соседей, у меня протек болт от туалета. Внизу коммунальная квартира. Пострадало два места - общее место и комната. Собственник говорит, что хочет 50 тысяч, я предложил 30 тысяч, она подумала и согласна. Что мне делать сейчас, какой документ написать, чтобы соседка не пошла в суд?"
391415,"Добрый день, имеет ли право инвалид 3 группы уволиться с работы без отработки?"
410293,Нападение водителя такси. Подтвержденные травмы. Написано заявление в полицию. Нужен адвокат
388007,"В конце ноября через интернет магазин, заказывали шкаф. Привезли разобранный шкаф доставкой, при сборке шкафа смотрели комплектацию - обнаружили, что каких-то деталей не хватает. И уже под новый год, делал заявку, чтобы довезли недостающие части. Но уже после нового года привезли не ту деталь, требовалась левая боковина шкафа, а прислали правую. Но контакт не шли, были одни отговорки. В феврале опять привезли не ту боковину. В марте так же привезли правую. Написал в апреле жалобу в Роспотребнадзор, нужна консультация. В начале мая привезли детали, и мы попросили у этой компании за свой счет сборку шкафа, но они до сих пор ничего не ответили."
395101,"Здравствуйте у меня перед как я в армию служить пошол  кредитная карта был там примерно минус 80 т рублей я оформил каникули на кредитку там проценти скапливаются или плюс если не оплатил проценти вовреми просрочка еше 
Что мне делать у меня нету возможности платит проценти даже какие деньги у {{UL}} может быт 
Из за этого у меня ночами не спится желание жить далше тоже пропало 
Посоветуйте пожалуйста что делать"
401839,"Хотели воспользоваться в г.Ставрополе программой ""Молодая семья"" в соответствии со статьей 51 Жилищного кодекса.У нас молодая семья из 3х человек. Супруга и ребенок. Взял квартиру в ипотеку до вступления в брак. Плачу с 2021 г. У нас 36,7 кв м. По решению думы от 2005 года г. Ставрополя нуждающимся считается семья где менее 12 кв м на человека. У нас 0,8 кв м больше. То есть по 12,23 кв м на человека. Это не значительно, однако в соответсвии с законодательством, нормативными актами и другими документами мы не попадаем в рамки нуждающихся и не можем стать на очередь и претендовать на сертификат 1,7 млн на расширение (покупку 2х комнатной квартиры). В регионе зарегистрированы более 15 лет, а в г. Ставрополь зарегистрировались: жена в ноябре 24 года в этой квартире, а я с сыном с июля этого года. Сын родился 11.06.2025 года. Есть ли законные способы, чтобы мы все таки могли подходить под данную программу ?"
398675,Требуется получить налоговые вычеты за стоматологию и ИИС
382306,"Оформил заказ на озоне на квадроцикл за 599 тысяч рубл и доставка 12 тысяч. оплатил все. Со мной связался продавец для уточнения данных для оформления договора купли продажи и оформления ПТС. Обьяснил условия гарантии которые меня не устроили и я отменил заказ на озоне. 599 тысяч вернулось,а за доставку нет. Озон говорит что при отмене заказа вы согласились с условием что доставка не возвращается и отказали. Как быть? услуга не оказана,денег не отдают"
405362,"Добрый день! Я являюсь созаемщиком кредита, это ипотека. Заемщиком является бывший супруг. По решению суда выделены доли между супругом, мной и тремя детьми, двое из них несовершеннолетние.
Вопрос: в размере какой суммы я должна вносить самостоятельно на погашение ипотеки?"
375664,"Здравствуйте я заказала 14 упаковок ламината на {{UL}}, который был доставлен 23.03.2025, мною 08.04.25 было обнаружено что 2 х упаковок не хватает, 11 упаковок привезли одним заказом, который я приняла лично пересчитав, второй заказ, который должен был состоять из 3х упаковок принял мастер, и ему отдали только 1 упаковку. У нас в доме стоит видео наблюдение, но запись камер храниться 7 дней. В решении вопросы {{UL}} отказал, и.к прошел срок рассмотрения 15 дней. Что делать в данной ситуации"
391871,"Добрый день, ук подала в суд для взыскания оплаты по жилищно коммунальным услугам. Квартира находится в новостройке где ук предоставляет услуги не качественно. Можно ли обжаловать решение мирового судьи и какие сроки для обжалования ?"
377065,"Добрый день! Нужна помощь в составлении  обращения в свободной форме в налоговую. В январе 2024 года состоялась продажа квартиры, купленной в 2016г. В 2023 выделены доли детям(Мат.капитал использовался) 
Согласно изменениям в законодательстве, срок владения устанавливается с момента приобретения родителем, необходимо подать в {{UL}} обращение в произвольной форме"
402827,"Необходима консультация по вопросу начисления платы за свет. У клиента есть в собственности кладовое помещение в ЖК. ЖК выставляет платежный документ с платой за свет, который начисляют по тарифу. Правомерно ли делать начисления по общему тарифу или ЖК должен был установить индивидуальный прибор учета? Кладовой клиент практически не пользуется."
402343,"Добрый день, у меня новостройка от ПИК в которой установлены лифты их дочерей компании. Лифты не работают чаще, чем работают. С учётом моего 23 этажа — это проблема. Причем такая же ситуация и в соседних корпусах нашего ЖК, а судя р отзывам, то и по всей России. УК отправляет в лифтовую компанию, те приезжают и перезапускают лифты. Иногда оперативно, иногда через несколько дней. Подскажите, пожалуйста, можно ли как-то заставить застройщика поменять лифты на нормальные или же отремонтировать их так, чтобы они работали как полагается? Какой план действий порекомендуете?"
410757,"Здравствуйте! Ситуация такая. Я ранее оплатил ,, мое дело,, в другом банке и практически не успел им воспользоваться, но прошел 1 месяц из 16 оплаченных и мне не хотят возвращать остаток не использованной части денег от общей суммы. Сказали так: вообще нет у нас так не принято, но если вы обратитесь к юристу и он все правильно объяснит вам что делать, то вполне возможно вернем почти всю сумму. Помогите пожалуйста. Спасибо."
384674,"Супруга выходит из отпуска по уходу за ребенком до 3 лет. В связи с тем, что в первом отпуске по уходу за ребенком до 3 лет появился второй ребенок, то суммарное количество лет отсутствия на рабочем месте составило 5.5 лет.
Через неделю 26 мая должен состоятся первый рабочий день. Супруга на прошлой неделе позвонила в отдел кадров с вопросом ""как происходит выход на работу"". На что начальник отдела кадров ответил - наша организация в настоящий момент не готова вам выделить работу. Проищите новое место для себя.
Как в таком случае общаться с работодателем?"
390445,"Здравствуйте,  у меня возник спор с исполнителем услуг .Год назад я снимала комнату для сотрудников на 3 койко места, оплатила заранее за месяц вперёд.Один сотрудник прожил 5 дней,  уехал , 2 других 3 недели . Была оплата залога 30 тр  , которую мне не вернули , и я не смогла воспользоваться оставшимися днями для заселения  других людей .."
375452,"Добрый день, скажите пожалуйста если я воспользуюсь деньгами с кредитной карты для покупки земли под строительство дома, это не повлияет на одобрение ипотеки?"
387552,"Здравствуйте. Я купил дом. Дом принадлежит мужчину, у которого есть законная жена. Когда мы оформляли документы, согласия  жену не брали. Сейчас эта ситуация стоит как спорные, а женщина согласна В этом случае какой документ мы должны оформить?"
