uid,query,used
2c3d430a-6119-42c9-969a-99703931544a,"Подать уточнение по налоговой декларации. Ошибочно подали в 2023 налоговую декларацию по доходу ФЛ, который был получен в 2023. Уже в этом году подали корректную , но нужно уточнить налоговую декларацию за 2023 с 0 доходом",0
3d149d82-96f9-46b4-ad70-77972b28e416,"Добрый день. Мошенники , пирамида, всё было через Сбербанк платежи 2012 году, их осудили только в марте 2024, взыскать потери в порядке гражданского судопроизводства проинформировали , нужна консультация?? Спасибо.",0
07ccd736-8724-400b-b876-635706e1136f,"Нужно помочь в составлении ходатайства о передачи дела в другой суд, я выступаю в качестве заявителя ( истца)",0
df168fab-aabb-4e01-b469-72e374497ac3,"Залили квартиру снизу, у нас есть страховка, включающая гражданскую ответственность. Т.е. соседи могут обратиться в страховую компанию и получить возмещение, НО не хотят. Планируют взыскать сумму ущерба напрямую через суд (есть акт независимой экспертизы, сумма сильно завышена + хотят моральный вред ~ 200 тыс). Сколько будет стоить представительство в суде?",0
27690fc5-bf7b-40af-a478-1f60c3241a11,Налоговый вычет за медицинские услуги,0
689ad2f0-b500-40dc-8e67-ea2221760adb,"Здравствуйте, пришел штраф за неуплату парковки 5000₽,парковка была оплачена, но в настройках оплаты был др авто те оплатил но за др авто, можно ли оспорить штраф?",0
c610dcc9-bcf6-484b-876f-6d60c63905ef,"Есть кв и квартирная земля ( трехэтажка), у них идет 2 договора , ДКП и договор безвозмездной передачи земельного участка. Могут ли они два этих договора оформить в единый ?",0
177cd5f8-ced2-44eb-8dea-71373fc67a26,"Произошло ДТП с моим отцом 18.12.2023. Транспортное средство застраховано по Осаго и Каско.Профи в Ресо-Гарантии. В районе 17:20 18.12.2023, двигаясь в своей полосе, почувствовал удар в левую сторону авто (эвакуатор выезжал задним ходом с дворовой территории). Вину водитель эвакуатора не признает, после ДТП спешно припарковал т/с. Экипаж ГИБДД прибыл на место через 8 часов, единственный свидетель уехал, составили определение об отказе в административном правонарушении. В связи с этим страховая хочет выплатить только 50% стоимости по ОСАГО.",0
6dbaa432-7c6f-419a-b62d-5bf5677dea50,"У меня есть договор с фитнес клубом (в приложении). В течение декабря 2023-марта 2024 я была на больничном (есть инфо на гос. услугах) и не могла пользоваться услугами клуба. На телефонный запрос о продлении срока договора клуб ответил отрицательно. Я использовала 2 мес. бесплатной заморозки и 1 мес. заморозки за деньги. Вопрос следующий: 1. могу ли я получить от клуба продление членства на период больничного и какие для этого нужны документы? 2. Могу ли я прекратить членство в клубе, какие документы нужны и какую сумму я смогу вернуть. Договор в приложении. Спасибо!",0
ff9bd1e5-6f26-4414-9362-a4b23d9509b0,Хочу обжаловать штрафы за нарушение ПДД. Пришло несколько постановлений о нарушении скоростного режима. С разницей времени нарушения 1 минута,0
f41a8383-ca58-4360-8bfd-6f6c8216629a,"Хотела бы получить юридическую консультацию по вопросу некачественно оказанной косметологической услуги. Как я могу это сделать? Суть вопроса: месяц назад была проведена процедура лазерной эпиляции. Уже не первый раз в данном салоне. После процедуры, возможно, проведенной некачественно, воспалилось несколько родинок (сразу же, в течение часа). Была вынуждена месяц за свой счет производить лечение, одну родинку пришлось удалить. скажите, пожалуйста, могу ли я запросить у салона возврат средств за некачественно оказанную услугу и компенсацию моего лечения? На каких основаниях и каким способом, если да? Какие документы потребуются?",0
840143c8-4fed-43cd-b7e3-2e23138c12fd,"Временная регистрация гражданина Узбекистан, у него патент на 3 месяца. Я хочу его зарегистрировать на год в своей квартире. Могу?",0
a4876453-6433-4899-bf1b-cbfae27f087e,"Имеет сила расписка не завереренная нотариусом ?и если будет расписка заверенная нотариусом ,то как возвращаются деньги если вдруг наступит смерть одно(заёмщик или заемодатель )",0
a33ea6ec-d6a9-43c3-9cd1-c96ea8b54564,"Подписано соглашение о расторжении от 12.07.24 к договору подряда с юридическим лицом, дата возврата средств физическому лицу указана как 19.07.24. В указанную дату деньги не поступили и поступят не ранее 22.07.24. Можно ли по закону о защите прав потребителей взыскать с ЮЛ (подрядчика) неустойку за два дня просрочки и если да, то в каком размере?",0
9d786c83-9fc8-44eb-add0-f6b9117d3bda,"Клиент живет в Крылатском появились новые люди и выставляют в общий коридор, велосипеды, детские коляски. Какие права у клиента?",0
46bdf00a-f7f1-4173-b0be-8381d4f71596,Защита прав потребителя. Покупал телефон и он оказался некачественным,0
836752fa-edef-45c7-acd0-cc98969df72e,"Остановило ГИБДД, пересенк сплошную при повороте во двор, ГИБДД вменяют выезд на встречку",0
0ec5493b-526c-4b48-be2a-20aefa3de46f,"Купили грузовой автомобиль в твери и там же поставили на учет, сейчас пришло письмо о том что учет аннулирован.",0
4179157e-de9d-4fa0-8e47-bb7ed03fa24a,Обжаловать автоштраф. Оплатил парковку на 2 минуты позже.,0
dd721661-ab93-41c8-9dc0-8100e199a752,"А можете проконсультировать по налоговому вычету. Я хочу подать декларацию на получение социального налогового вычета НДФЛ (за лечение). Максимальная сумма вычета в 2023 году была 120 000 рублей. Я потратила на лечение только в одном учреждении 150 000 рублей. При этом лечение не дорогостоящее, а в справке проходит по коду 01. Могу ли я подать заявление на вычет с этой справкой? То есть указать, что мне нужен вычет на 120 000, но в качестве подтверждающего документа приложить свою справку на 150000? Или мне нужно получить от учреждения справку именно на 120 тысяч или меньше? И если мед. Учреждение выдало мне справку с кодом 01, значит мои мед.услуги не могут быть отнесены к дорогостоящему лечению согласно перечню? Даже если их сумма больше 120 тысяч? Спасибо",0
0be2814e-c5af-47fc-964d-a8736d6ce4ac,"хочу зарегистрироваться в качестве ИП на НПД и заниматься в сфере дизайна, и мне требуется выбрать ""На основании каких договоров будут проводиться операции по счету?"", что нужно выбирать?",0
0a5f2606-b638-408b-be32-53e6cd8642af,"Как написать заявление на увольнение в связи с выходом на пенсию. И чтобы не отрабатывать две недели. Прочитал что если увольнение по пенсии, то увольнение без пенсии. РАЗНИЦА ВО ВРЕМЕНИ 5 ЧАСОВ",0
40c84a56-b428-485b-bbd7-aa0f917391ec,"Здравствуйте, я хочу получить услугу в области трудового права Я хотела уточнить несколько вопросов, связанных с предстоящим сокращением должности: 1. Относится ли предпесионер к льготной категории граждан при сокращении штата? 2. В течение какого срока сотрудник обязан подписать уведомление о сокращении? 3. После подписания уведомления с какой даты будет произведено сокращение? 4. Если сотрудник является предпенсионером (год до назначения пенсии) то какова вероятность, что служба занятости предложит досрочное оформление пенсии и по каким критериям это решение принимается? 5. В целом, при принятии решения какой вариант для предпесионера предпочтительнее - уход по соглашению сторон или по сокращению штата? Заранее благодарю! Еще хотела пояснить, что в уведомлении о сокращении не указана дата увольнения, само уведомление пришло, когда сотрудник находился в отпуске. Дата, в которую надо ознакомиться с уведомлением - 3 дня с даты подготовки и отправки уведомления. После ввхода из отпуска этот срок еще не вышел. Двухмесячный срок перед увольнением по сокращению в данном случае будет считаться от даты подготовки и направления уведомления сотруднику или от даты, следующей за датой фактического ознакомления с уведомлением сотрудника?",0
8da79f47-21a5-447a-8ab4-190655eda193,"Миграционный вопрос, шла делать ребенку загранпаспорт, ей отказали, что в каком то документе нет штампика о наличии у него гражданства, надо разбираться",0
0f94bddd-36ea-4875-9c0e-c9eb0d1162f7,"Ребенку 15 лет, выезжает в Армению с бабушкой. Нужно ли нотариальное согласие одного из родителей на выезд?",0
29e53128-8672-4696-aac4-743a3d78c842,"Просьба помочь разобраться в ситуации. Решили с мужем развестись. Есть совместное имущество в - недвижимость в Москве и машина. Первоначальный взнос по ипотеке вносили солидарно вместе с мужем. Все накладные расходы были на мне. На протяжении 2,5 лет, после переезда в Москву, ипотеку плачу только я. Муж оплачивает коммунальные услуги и интернет. Муж не работает. Хочу оставить себе квартиру с тем долгом по ипотеке, который есть, вернув мужу его вложения. Он настаивает на продаже и делении денег пополам. Машина приобреталась совместно, хоть и оформлялась на мужа. Хочу понять как поступить в моей ситуации. Важное дополнение к описанию выше - детей нет.",0
b9721255-0dde-4f4b-8600-6d259ff462cd,"анализ ДКП квартиры, является продавцом, Калуга",0
b708863d-f79e-4db1-999d-5ac9b0eee34e,"У клиентки есть мать, которая единолично владела квартирой. Она решила подарить ее Клиентке, а двум другим детям помочь материально - одному погасила ипотеку, другому оплатила половину квартиры. Несмотря на то, что мать клиентки была единственным собственником квартиры, и дети на нее прав не имели, клиентка почему-то обеспокоена, что впоследствии ее братья/сестры могут что-то потребовать от нее. Поэтому ее вопрос - как документально оформить то, что мама помогла другим детям закрыть ипотеку/оплатить квартиру, чтобы они больше не претендовали на ту квартиру, которую мама подарила ей?",0
eed0084b-a05f-4331-b77b-e95607147cf4,"Оставил телефон не заблокированным, вернулся, увидел списание в виде перевода на 400 000. Как можно вернуть средства?",0
d5dc6c67-d49c-4fd4-92a1-3cd448395816,Был открыт вклад на 3-е лицо. Вкладом не пользовались. Вкладчик передумал. Вернет ли банк денежные средства.,0
