uid,query,used
6a4b50da-0ab9-46fd-a603-97bacc16012f,Как создать новый счет?,0
4a1e3295-9a5f-4ac8-904b-cfcc6074c33e,"Добрый день! Нужна консультация по вопросу налогообложения при продаже недвижимости, желательно,в телефонном формате.",0
8e569d8f-8fdc-4644-bb0f-554114ea468a,"20.25 коап, каков порядок действий",0
d2980240-93b0-4404-85e2-da4f08ef486d,"не знаем, трубки нет",0
d24c8218-2964-4646-8c29-d8c3fbfbe9fe,"Раздел имущества, общие правила вопрос ответ",0
24f41261-cd3a-49b9-93a8-fa331cf8df14,"Арестовали 15 тр и 2 тр , мне они срочно нужны. Есть варианты?",0
42d33d5b-65b8-4d55-854c-a41bebb22ff7,"вопрос пока неизвестен, по телефону говорит неразборчиво, предложил задать вопрос в чате",0
8ad710ba-2ec9-4fd8-ac16-755ddb8c9a47,регистрации на территории субъектов РФ,0
efcba475-ab2a-4624-9419-2d1866e9cc79,Нужна информация по налогам,0
3596b347-e4ca-4df2-aaf1-1dab7570ac3c,Страхование жизни и здоровья по ипотеке в какой компании могу сделать,0
6b9fa09e-2898-4cee-a90e-04a985a2de43,Налоговый вычет по недвижимостти,0
81424758-0844-4dcf-b0d6-854fb821e2ce,Штраф за 12.12 с сентября.,0
64e06ba1-05a0-4be0-9512-f29e7dba23e5,Вопросы в отдельном файле,0
c7b95bfa-5b72-456a-8474-07eff07e5279,Зарегистрирован товарный знак. Школа танцев. владелец товарный знак,0
1900ac76-c7ff-477d-a9fe-cdddb350ee71,Добрый день! Хотела бы проконсультироваться с юристом по поводу раздела имущества после развода,0
f9a91df2-2cb1-4ae6-bafc-39542ddf4482,Подключиться к видеозвонку. Написала на платформе.,0
70968775-6aa2-4d91-bab9-27c61cbdbc74,"Сбили собаку, вызвали гаи - Но сами все решили",0
a74401d3-c70c-4edf-b93f-fe18f66227d1,Добрый день! Необходимо помочь составить 3 НДФЛ,0
5426a84a-45cd-476c-b920-511e12db8b73,помочь в составлении обжалования,0
0a8cac21-18f2-4b5f-952f-49f2a1425a5c,"Здравствуйте, возник вопрос по просрочке ипотечного договора , можете ли проконсультировать ?",0
11cd2669-47eb-4745-bb78-7890c2ce2f8e,"Добрый день, хотел бы обжаловать штраф гибдд",0
88f9e63e-56ff-4ab5-90c6-5ec30cb79acd,Как обратить в гибдд по вопросу перекрытия двора,0
