ID,query,size,depers,mark_legal_value
410663,"Пришел штраф за отсутствие оплаты парковки. Парковка оплачена в приложении «Парковки России» ошибочно выбран автомобиль, который давно продан вместо действующего ( приложение его почему то поставило).",s,False,4
397691,"Здравствуйте! Произошла смерть в баре посетителя! Согласно видеозаписям (находящимся у участкового): Мой свёкр В 16:35 он упал завалился на бок; В течение 10-15 минут пытался подняться; В 16:45 перестал двигаться (зафиксировано единичное подергивание ноги); В 17:00 мой муж вошел в бар, но не сразу заметил свекра; В 17:20, вернувшись, обнаружил его без признаков жизни. Работника бара не вызвали скорую и не обращали на него никакого внимания ,пока его не обнаружил его сын(мой муж)! Следователь настойчиво спрашивает, что по моему мнению должен был сделать персонал?!И что они не обязаны проверять жив человек или нет!Есть ли судебная практика в таких делах и как ее найти(в открытых источниках не могу найти)",l,False,5
382377,У меня квартира 50/50 в собственности с бывшем мужем. Есьб обший 8 летний сын. Он недавно женился. Никак не хочет переписать свою долю на сына. Как можно решить ситуацию? Деньги ему за его часть предлагала. Он отказывается. Квартира приобретена была в нашем браке.,m,False,4
402154,Клиент просит консультацию по возможности получить налоговый вычет по медицине ( клиент пенсионер) зубы оплачивал сын,s,False,4
399240,"Добрый день! Если заемщик ипотечного кредита самозанятый, можно ли получить налоговый вычет? Если у заемщика созаещик работает, можно ли получить вычет?",s,False,4
384928,Попал в дтп. Вторая машина снята с учета. Гаи считает виновником,xs,False,3
389643,"В 2022 году покупал видеокарту в ДНС с гарантией 24 месяца. Сломалась в гарантийный период. Сдал в сервисный центр. Они сделали диагностику и сделали вывод, что она работает. Проверить не дали, смог это сделать только дома. Дома она не работала. На следующий день снова отвез в сервисный центр. На второй раз они сделали вывод, что было нарушение условий эксплуатаций и транспортировки. Я писал им претензию. Также при приемке видеокарты я увидел, что заводские пломбы на месте. Таким образом, заключение, которое они сделали, без скрытия этих пломб сделать нельзя. После этого я снова писал претензию, что забирать я карту не буду и указал на факт наличия пломб. Они отправили ответ такой же, как и на первую претензию.  Что делать?",l,False,4
398666,"Здравствуйте,  к заявлению мировому судье на поворот судебного решения , какие необходимо приложить документы? Можно ли приложить электронную копию определения об отмене судебного приказа? И как получить постановление судебного пристава об окончании исполнительного производства, если я проживаю в одном городе, приставы и мировой судья находятся в другом городе. Судебный приказ был о взыскании задолженности по услуги ЖКХ, но имущество мне не принадлежит и никогда не принадлежало,  это чужой долг, никак не могу добиться кто в судебном приказе по задолжавшей квартире определил мои ФИО, паспорт, дату рождения. Почему мировой судья для взыскания долга не запрашивает выписку из ЕГРН по задолжавшему имуществу?",l,False,5
409445,Здравствуйте. Дочь покусала бездомная собака. Можем ли мы подать иск в суд на местную администрацию и какова вероятность выиграть дело? С чего начать и какие доказательства необходимо предоставить?,s,False,4
385124,"Сын учится в частной гимназии. Обучение у всех школьников заканчивается у всех в Мае, а мне сейчас пишут, что я должна оплатить еще Июнь, хотя учитель спрашивал, кто хочет в Июне учиться. Сейчас говорят, что мы обязаны учиться в Июне, что программа рассчитана на Июнь. Мне нужна консультация, как это с точки зрения законодательства, так как федеральная программа закончилась в Мае.",m,False,4
